company_name,security_name,company_url,trading_code,scrip_code,isin,last_trading_price,last_trading_yield,closing_price,last_update,days_range,change_prev,change_next,days_value,fiftytwo_weeks_moving_range,opening_price,days_volume,adjusted_opening_price,days_trade,yesterday_closing_price,market_capitalization,remaining_maturity,issuer,tenure,issue_date,cupon_rate,debut_trading_date_basic,cupon_frequency,maturity_date,security_catagory,electronic_share_basic,year_basis,authorized_capital,debut_trading_date,paid_up_capital,type_of_instrument,face_par_value,market_lot,total_outstanding_security,sector,address_head_office,address_factory,address_issuer,concern_department,contact_phone,fax,email,web,company_secretary_name,secretary_cell_no,secretary_telephone_no,secratary_email,listing_year,market_catagory,electronic_share,share_holding_percent_1,sponsor_or_director_1,govt_1,institute_1,foreign_1,public_1,share_holding_percent_2,sponsor_or_director_2,govt_2,institute_2,foreign_2,public_2,share_holding_percent_3,sponsor_or_director_3,govt_3,institute_3,foreign_3,public_3,remarks
SEML Lecture Equity Management Fund,N/A,https://www.dsebd.org/displayCompany.php?name=SEMLLECMF,SEMLLECMF,12196,N/A,N/A,N/A,9.10,3:10 PM,N/A,N/A,-100.00%,N/A,8.40 - 11.70,N/A,N/A,9.10,N/A,9.10,455.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"14 Jan, 2016",500.00,Corporate Bond,10.0,1,"50,000,000",Mutual Funds,"Rangs RL Square, Floor-12, Plot Kha 201/1,203, 205/3, Bir Uttam Rafiqul Islam Ave, Dhaka 1213.",N/A,N/A,N/A,+88 02 550 552 80,+88 02 550 552 79,info@strategic-bd.com,http://www.strategic-bd.com,Mohammad Shafatul Islam,+880 1918-903790,N/A,shafatul.islam@gmail.com,2016,A,Y,"Share Holding Percentage
                    [as on Jun 30, 2021 (year ended)]",10.00,0.00,24.61,0.00,65.39,"Share Holding Percentage
                    [as on Sep 30, 2022]",10.00,0.00,9.47,0.00,80.53,"Share Holding Percentage
                    [as on Oct 31, 2022]",10.00,0.00,9.47,0.00,80.53,Data are provided as per company prospectus.
Shahjalal Islami Bank Ltd.,N/A,https://www.dsebd.org/displayCompany.php?name=SHAHJABANK,SHAHJABANK,11139,N/A,19.00,N/A,19.10,3:10 PM,18.90 - 19.20,0,0.00%,0.47,18.40 - 23.40,19.00,"24,812.00",19.00,22,19.00,"20,530.484",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"15,000.00",N/A,"10,805.50",Equity,10.0,1,"1,080,551,799",Bank,"Shahjalal Islami Bank Tower, Plot No.04, Block-CWN©rnGulshan Avenue, Dhaka-1212",N/A,N/A,N/A,02-222283457 (Hunting) PABX-Ext. 1001 to1005,02-222283434,sblho@sjiblbd.com,http://www.sjiblbd.com,Md. Abul Bashar,1755556060,02-222283457 (Hunting) Ext-1000,bashar40@sjiblbd.com,2007,A,Y,"Share Holding Percentage
                    [as on Dec 31, 2021 (year ended)]",48.22,0.00,14.24,0.15,37.39,"Share Holding Percentage
                    [as on Sep 30, 2022]",48.22,0.00,14.85,0.15,36.78,"Share Holding Percentage
                    [as on Oct 31, 2022]",48.22,0.00,14.78,0.15,36.85,N/A
Shasha Denims Limited,N/A,https://www.dsebd.org/displayCompany.php?name=SHASHADNIM,SHASHADNIM,17466,N/A,N/A,N/A,27.00,3:10 PM,N/A,N/A,-100.00%,N/A,21.30 - 31.90,N/A,N/A,27.00,N/A,27.00,"3,807.970",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"2,250.00","05 Mar, 2015","1,410.36",Equity,10.0,1,"141,035,910",Textile,"House No. 23, Road No. 129, Gulshan 1, Dhaka - 1212","184, 193, 277 DEPZ (Extn) Savar, Dhaka",N/A,N/A,"'88029850548, 88029854679",(88-02) 7789307,info@shashabd.com,http://www.shashadenims.com,Aslam Ahmed Khan,+88 01730 022 143,8802 9850548( EX - 104),aslamkhan3012@gmail.com,2015,A,Y,"Share Holding Percentage
                    [as on Jun 30, 2021 (year ended)]",37.56,0.00,20.19,1.78,40.47,"Share Holding Percentage
                    [as on Sep 30, 2022]",37.56,0.00,22.54,0.00,39.90,"Share Holding Percentage
                    [as on Oct 31, 2022]",37.56,0.00,22.61,0.00,39.83,"1.TK 857,122,881 Revaluation Reserve has been added to Reserve & Surplus."
Shepherd Industries Limited,N/A,https://www.dsebd.org/displayCompany.php?name=SHEPHERD,SHEPHERD,17474,N/A,N/A,N/A,24.00,3:10 PM,N/A,N/A,-100.00%,N/A,23.40 - 33.20,N/A,N/A,24.00,N/A,24.00,"3,697.115",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"1,900.00","08 Mar, 2017","1,540.46",Equity,10.0,1,"154,046,473",Textile,"House # 24, Road # 04, Sector # 04, Uttara, Dhaka-1230","Kathalia, Bhaluka, Mymensingh, Bangladesh",N/A,N/A,48963340-42 Ext.111,48963359,share@shepherdbd.com,http://www.shepherdbd.com,Mohammad Maruf Bin Wali,+88 01966 660 445,48963340-42 Ext.111,share@shepherdbd.com,2017,B,Y,"Share Holding Percentage
                    [as on Jun 30, 2021 (year ended)]",51.48,0.00,12.34,18.40,17.78,"Share Holding Percentage
                    [as on Sep 30, 2022]",51.48,0.00,23.39,9.49,15.64,"Share Holding Percentage
                    [as on Oct 31, 2022]",51.48,0.00,23.21,9.49,15.82,"1. TK 521,822,227 Revaluation Reserve has been added to Reserve and Surplus"
Shurwid Industries Limited,N/A,https://www.dsebd.org/displayCompany.php?name=SHURWID,SHURWID,13234,N/A,18.60,N/A,18.60,3:10 PM,18.60 - 18.60,0,0.00%,N/A,15.00 - 23.50,18.60,1.00,18.60,1,18.60,"1,067.040",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"1,000.00","08 Sep, 2014",573.68,Equity,10.0,1,"57,367,750",Engineering,"Main Office: BiMile, Konabari, Gazipur-1346.\r\nShare Office: Flat-B-6, House No-2, Level-7, Road -7,Rupayan prime, Dhanmondi, Dhaka-1205.",N/A,N/A,N/A,"880-2-9640315, 02- 9612213, 9640316, +8801929996158","880-2-9640317, 02-9612019,",shurwid2004@gmail.com and info@shurwid.org,http://www.shurwid.org,N/A,N/A,N/A,N/A,2014,A,Y,"Share Holding Percentage
                    [as on Jun 30, 2019 (year ended)]",9.99,0.00,22.80,0.00,67.21,"Share Holding Percentage
                    [as on Sep 30, 2022]",12.01,0.00,12.05,0.00,75.94,"Share Holding Percentage
                    [as on Oct 31, 2022]",12.01,0.00,12.05,0.00,75.94,"1.TK 29,579,923 Revaluation Reserve has been added to Reserve & Surplus."
Shyampur Sugar Mills Ltd.,N/A,https://www.dsebd.org/displayCompany.php?name=SHYAMPSUG,SHYAMPSUG,14279,N/A,98.20,N/A,98.20,3:10 PM,98.20 - 98.20,0,0.00%,0.00,69.10 - 129.00,98.20,30.00,98.20,1,98.20,491.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,500.00,N/A,50.00,Equity,10.0,1,"5,000,000",Food & Allied,"Bangladesh Sugar and Food Industries Corporation, Chini Shilpa Bhaban, Share office (5th floor), 3 Dilkusha C/A, Dhaka.","Shyampur, Rangpur",N/A,N/A,9515668,88-0521-62387,s.sugarmills@yahoo.com,http://www.bsfic.com.bd,Shafinaz Umme Rumana,+88 01911 714 676,N/A,rumanashafinaz@gmail.com,1996,Z,Y,"Share Holding Percentage
                    [as on Jun 30, 2021 (year ended)]",0.00,51.00,3.92,0.00,45.08,"Share Holding Percentage
                    [as on Sep 30, 2022]",0.00,51.00,1.34,0.00,47.66,"Share Holding Percentage
                    [as on Oct 31, 2022]",0.00,51.00,1.60,0.00,47.40,N/A
Social Islami Bank Limited,N/A,https://www.dsebd.org/displayCompany.php?name=SIBL,SIBL,11120,N/A,12.30,N/A,12.30,3:10 PM,12.30 - 12.30,0,0.00%,0.00,12.10 - 19.40,12.30,70.00,12.30,1,12.30,"12,720.098",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"30,000.00",N/A,"10,341.50",Equity,10.0,1,"1,034,154,286",Bank,"City Center (20th Floor) 90/1, Motijheel C/A Dhaka",N/A,N/A,N/A,"88-09612001122, Ext-50431",88 02 9568098,share@sibl-bd.com,http://www.siblbd.com,"Md. Nazmul Ahsan, FCS",+88 1713 139 303,09612001122 Ext:50271,board@sibl-bd.com,2000,A,Y,"Share Holding Percentage
                    [as on Dec 31, 2021 (year ended)]",32.06,0.00,47.58,1.32,19.04,"Share Holding Percentage
                    [as on Sep 30, 2022]",32.06,0.00,47.94,1.31,18.69,"Share Holding Percentage
                    [as on Oct 31, 2022]",32.06,0.00,47.94,1.31,18.69,"TK.  557,024,130 Revaluation Reserve has been added to Reserve & Surplus."
Silco Pharmaceuticals Limited,N/A,https://www.dsebd.org/displayCompany.php?name=SILCOPHL,SILCOPHL,18495,N/A,23.40,N/A,23.40,3:10 PM,23.40 - 23.90,0,0.00%,25.14,22.10 - 31.70,23.40,"1,073,222.00",23.40,534,23.40,"2,429.084",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"1,050.00","13 Jun, 2019","1,038.07",Equity,10.0,1,"103,807,000",Pharmaceuticals & Chemicals,"41 Nurani, Bankalapara, Subid Bazar, Sylhet",N/A,N/A,N/A,"0821-722241, '01623618639",N/A,info@silcopharma.com,http://www.silcopharma.com/,Mr. Tingku Ranjan  Sarker,8801716394060,0821-722241,trt.tinku@gmail.com,2019,A,Y,"Share Holding Percentage
                    [as on Jun 30, 2021 (year ended)]",39.12,0.00,17.74,0.00,43.14,"Share Holding Percentage
                    [as on Sep 30, 2022]",39.12,0.00,7.76,0.00,53.12,"Share Holding Percentage
                    [as on Oct 31, 2022]",39.12,0.00,9.87,0.00,51.01,N/A
Silva Pharmaceuticals Limited,N/A,https://www.dsebd.org/displayCompany.php?name=SILVAPHL,SILVAPHL,18493,N/A,N/A,N/A,21.60,3:10 PM,N/A,N/A,-100.00%,N/A,17.50 - 26.00,N/A,N/A,21.60,N/A,21.60,"2,948.400",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"1,500.00","10 Oct, 2018","1,365.00",Equity,10.0,1,"136,500,000",Pharmaceuticals & Chemicals,"House # 65, Road # 8/A (New), Dhanmondi, Dhaka-1209.",N/A,N/A,N/A,"+88-02-8191336, +88-02-9146009",+88-02-9146013,share@silvapharma.com,http://www.silvapharma.com,Md. Iqbal Hossain,01711891686,+88-02-9146009-232,hossainiqbal.md123@gmail.com,2018,B,Y,"Share Holding Percentage
                    [as on Jun 30, 2021 (year ended)]",52.39,0.00,17.86,0.01,29.74,"Share Holding Percentage
                    [as on Sep 30, 2022]",51.44,0.00,14.80,0.01,33.75,"Share Holding Percentage
                    [as on Oct 31, 2022]",51.44,0.00,13.97,0.01,34.58,N/A
Simtex Industries Limited,N/A,https://www.dsebd.org/displayCompany.php?name=SIMTEX,SIMTEX,17469,N/A,17.30,N/A,17.30,3:10 PM,17.30 - 17.30,0,0.00%,0.00,15.00 - 24.80,17.30,200.00,17.30,1,17.30,"1,377.000",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"1,000.00","23 Nov, 2015",795.95,Equity,10.0,1,"79,595,381",Textile,"Khagan, Birulia, Savar, Dhaka-1341","Khagan, Birulia, Savar, Dhaka-1341",N/A,N/A,"+88 02-8881278-79, 01759666333",N/A,info@simtexgroup.com,http://www.simtexgroup.com,Mr. Ashis Kumar Saha,+88 01919 612 345,N/A,companysecretary@simtexgroup.com,2015,B,Y,"Share Holding Percentage
                    [as on Jun 30, 2021 (year ended)]",32.69,0.00,16.44,0.00,50.87,"Share Holding Percentage
                    [as on Sep 30, 2022]",30.00,0.00,17.10,0.00,52.90,"Share Holding Percentage
                    [as on Oct 31, 2022]",30.00,0.00,17.83,0.00,52.17,"1. TK 103,668,899 Revaluation Reserve has been added to Reserve & Surplus."
Singer Bangladesh Limited,N/A,https://www.dsebd.org/displayCompany.php?name=SINGERBD,SINGERBD,13211,N/A,151.90,N/A,151.90,3:10 PM,151.90 - 151.90,0,0.00%,0.04,149.10 - 179.50,151.90,292.00,151.90,6,151.90,"15,144.861",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"2,500.00",N/A,997.03,Equity,10.0,1,"99,702,838",Engineering,"House 5/B, 126, Gulshan-1, Dhaka-1212","1. Rajfulbaria, Jhamur, Savar, Dhaka-1347,                                                    2. Koulashur, Hemayetpur, Savar, Dhaka-1348",N/A,N/A,"880 9564438, 88041080921-6",88-02-9857624,info@singerbd.com,http://www.singerbd.com,Kazi Ashiqur Rahman,"+88 01817 042 256,  +88 01616 667 800",880 9564438,ashiq@singerbd.com,1983,A,Y,"Share Holding Percentage
                    [as on Dec 31, 2021 (year ended)]",57.00,0.00,23.80,6.17,13.03,"Share Holding Percentage
                    [as on Sep 30, 2022]",57.00,0.00,24.64,4.76,13.60,"Share Holding Percentage
                    [as on Oct 31, 2022]",57.00,0.00,24.62,4.76,13.62,"TK  544,383,963 Revaluation Reserve has been added to Reserve & Surplus."
Sinobangla Industries Ltd.,N/A,https://www.dsebd.org/displayCompany.php?name=SINOBANGLA,SINOBANGLA,99635,N/A,65.00,N/A,65.00,3:10 PM,63.30 - 66.50,1.1,1.72%,31.29,43.60 - 93.80,63.90,"480,403.00",63.90,"1,391",63.90,"1,277.783",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"1,000.00",N/A,199.97,Equity,10.0,1,"19,996,600",Miscellaneous,"Navana DH Tower, 9th Floor (Suit # 901 & 902), 6 Panthapath, Dhaka-1215, Bangladesh.",N/A,N/A,N/A,880 - 02 - 55013465-6,880 - 02 - 55013458,sbil@sinobangla.com,http://www.sinobangla.com,Md. Habibur Rahman,01711103201,02-55013465,habib@sinobangla.com,1999,A,Y,"Share Holding Percentage
                    [as on Jun 30, 2021 (year ended)]",30.61,0.00,3.88,0.00,65.51,"Share Holding Percentage
                    [as on Sep 30, 2022]",30.61,0.00,7.20,0.00,62.19,"Share Holding Percentage
                    [as on Oct 31, 2022]",30.61,0.00,22.44,0.00,46.95,"TK 2,798,760 Revaluation Reserve has been added to Reserve & Surplus."
SJIBL Mudaraba Perpetual Bond,N/A,https://www.dsebd.org/displayCompany.php?name=SJIBLPBOND,SJIBLPBOND,26007,N/A,N/A,N/A,"4,971.00",3:10 PM,N/A,N/A,-100.00%,N/A,"4,150.50 - 5,141.50",N/A,N/A,"4,971.00",N/A,"4,971.00",497.100,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"26 Dec, 2021",500.00,Corporate Bond,5000.0,1,"100,000",Corporate Bond,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,2021,N,Y,"Share Holding Percentage
                    [as on Dec 31, 2020 (year ended)]",0.00,0.00,0.00,0.00,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Sena Kalyan Insurance Company Limited,N/A,https://www.dsebd.org/displayCompany.php?name=SKICL,SKICL,25752,N/A,59.10,N/A,59.10,3:10 PM,56.00 - 60.40,2.6,4.60%,81.88,44.00 - 94.00,56.00,"1,384,439.00",56.50,"2,301",56.50,"2,260.000",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"1,000.00","07 Nov, 2021",400.00,Equity,10.0,1,"40,000,000",Insurance,"SKS Tower (12th floor), 7 VIP Road, Mohakhali, Dhaka-1206.",N/A,N/A,N/A,02-55058455-7,02-55058458,info@senakalyanicl.com,http://www.senakalyanicl.com,Mr. M.M. Sajedul Islam FCS,+88 01712 161 604,+88 02 55058455-57 Ext-123,secretary@senakalyanicl.com,2021,A,Y,"Share Holding Percentage
                    [as on Dec 31, 2021 (year ended)]",60.00,0.00,15.95,0.00,24.05,"Share Holding Percentage
                    [as on Sep 30, 2022]",60.00,0.00,4.33,0.00,35.67,"Share Holding Percentage
                    [as on Oct 31, 2022]",60.00,0.00,13.53,0.00,26.47,N/A
SK Trims & Industries Limited,N/A,https://www.dsebd.org/displayCompany.php?name=SKTRIMS,SKTRIMS,99642,N/A,24.80,N/A,24.80,3:10 PM,24.80 - 24.80,0,0.00%,0.02,23.90 - 34.40,24.80,914.00,24.80,5,24.80,"2,100.560",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"1,000.00","15 Jul, 2018",847.00,Equity,10.0,1,"84,700,000",Miscellaneous,"Hose:25 (3rd floor), Road-11, Sector-10, Uttara, Dhaka","45, Madrasa Road, 111/33 Tilargati, Sataish, Tongi, Gazipur-1712",N/A,N/A,+88 02 9857613,+88 02 9857615,info@sktrimsin.com,http://www.sktrimsin.com,Md. Riaz Haider,+88 01708 860 503,N/A,riazhaider43@gmail.com,2018,B,Y,"Share Holding Percentage
                    [as on Jun 30, 2021 (year ended)]",31.23,0.00,32.17,0.00,36.60,"Share Holding Percentage
                    [as on Sep 30, 2022]",31.23,0.00,23.52,0.00,45.25,"Share Holding Percentage
                    [as on Oct 31, 2022]",31.23,0.00,23.45,0.00,45.32,N/A
Sonali Aansh Industries Limited,N/A,https://www.dsebd.org/displayCompany.php?name=SONALIANSH,SONALIANSH,16360,N/A,780.00,N/A,780.00,3:10 PM,772.00 - 811.80,-5.3,-0.67%,28.55,397.50 - 961.40,810.00,"35,986.00",785.30,"1,327",785.30,"2,129.734",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,100.00,N/A,27.12,Equity,10.0,1,"2,712,000",Jute,"Lal Bhaban (1st Floor), 18, Rajuk Avenue, G.P.O. Box # 515, Motijheel, Dhaka-1000","Shahid Nagar, P.O. Daspara, P.S. Daudkandi, Dt. Comilla.",N/A,N/A,+8809678399000,N/A,info@sonaliaansh.com,http://www.sonaliaansh.com,Md. Habibur Rahman Khan,+88 01713 399 061,+8809678399000,info@sonaliaansh.com,1985,A,Y,"Share Holding Percentage
                    [as on Jun 30, 2021 (year ended)]",50.78,0.00,5.63,0.00,43.59,"Share Holding Percentage
                    [as on Sep 30, 2022]",50.78,0.00,5.63,0.00,43.59,"Share Holding Percentage
                    [as on Oct 31, 2022]",50.78,0.00,5.63,0.00,43.59,N/A
Sonali Life Insurance Company Limited,N/A,https://www.dsebd.org/displayCompany.php?name=SONALILIFE,SONALILIFE,25751,N/A,60.00,N/A,60.00,3:10 PM,58.00 - 60.30,1.7,2.92%,23.64,48.00 - 77.90,58.00,"396,609.00",58.30,829,58.30,"2,769.250",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"1,000.00","30 Jun, 2021",475.00,Equity,10.0,1,"47,500,000",Insurance,"Rupali Bima Bhaban, 7, Rajuk Avenue, Dhaka-1000",N/A,N/A,N/A,09678200004,N/A,info@sonalilife.com,http://www.sonalilife.com,Md. Rafe-uz-Zaman,"+88 01877 884 748, +88 01748 450 991",N/A,"rafe.zaman@sonalilife.com,   share@sonalilife.com",2021,A,Y,"Share Holding Percentage
                    [as on Dec 31, 2021 (year ended)]",54.58,0.00,5.77,0.00,39.65,"Share Holding Percentage
                    [as on Sep 30, 2022]",54.85,0.00,5.20,0.00,39.95,"Share Holding Percentage
                    [as on Oct 31, 2022]",54.85,0.00,5.34,0.00,39.81,N/A
Sonali Paper & Board Mills Ltd.,N/A,https://www.dsebd.org/displayCompany.php?name=SONALIPAPR,SONALIPAPR,19503,N/A,666.70,N/A,666.70,3:10 PM,658.00 - 686.40,8.3,1.26%,23.11,484.80 - 965.80,660.20,"34,757.00",658.40,884,658.40,"21,691.113",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,500.00,"26 Jul, 2020",329.45,Equity,10.0,1,"32,945,190",Paper & Printing,"51, Central Road, Dhanmondi, Dhaka-1205","Jatramura, Tarabo, Rupgonj, Narayangonj",N/A,N/A,"58610056-59, 9677781","88-02-58613965, 58615683",spshare@younusgroup.com,http://spbmlbd.com,Md. Rashedul Hossain,+88 01678 012 173,58610056-59,rashedul.hossain01@gmail.com,2020,A,Y,"Share Holding Percentage
                    [as on Jun 30, 2021 (year ended)]",72.06,0.00,3.14,0.00,24.80,"Share Holding Percentage
                    [as on Sep 30, 2022]",67.51,0.00,9.08,0.00,23.41,"Share Holding Percentage
                    [as on Oct 31, 2022]",67.51,0.00,8.15,0.00,24.34,"Total number of share has been calculated considering the Right shares 1R:2, 2022 (at par)"
Sonar Bangla Insurance Ltd.,N/A,https://www.dsebd.org/displayCompany.php?name=SONARBAINS,SONARBAINS,25730,N/A,49.60,N/A,49.60,3:10 PM,49.60 - 49.60,0,0.00%,0.48,41.00 - 78.30,49.60,"9,644.00",49.60,12,49.60,"1,986.056",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"1,000.00",N/A,400.41,Equity,10.0,1,"40,041,445",Insurance,"Paramount Heights (14th Floor) ,65/2/1, Box Culvert Road, Purana Paltan, Dhaka-1000",N/A,N/A,N/A,9574211-9571402 (PABX),88-02-9569164,sbi222@yahoo.com,http://www.sonarbanglainsurance.com,Abdur Rouf Gomosta,+88 01717 356 168,9574211-9571402 (Ext-29),sbi222@yahoo.com,2006,A,Y,"Share Holding Percentage
                    [as on Dec 31, 2021 (year ended)]",36.78,0.00,6.82,0.00,56.40,"Share Holding Percentage
                    [as on Sep 30, 2022]",37.38,0.00,8.36,0.00,54.26,"Share Holding Percentage
                    [as on Oct 31, 2022]",37.38,0.00,9.93,0.00,52.69,N/A
Sonargaon Textiles Ltd.,N/A,https://www.dsebd.org/displayCompany.php?name=SONARGAON,SONARGAON,17430,N/A,49.60,N/A,49.60,3:10 PM,49.60 - 49.60,0,0.00%,N/A,16.70 - 80.00,49.60,1.00,49.60,1,49.60,"1,312.766",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,500.00,N/A,264.67,Equity,10.0,1,"26,467,056",Textile,"Khansons Centre (8th & 9th Floors), 37, Kawranbazar, Dhaka- 1215.",N/A,N/A,N/A,"55012652, 55012656, 55012657, 01705583480",+880-2-55012653,sharedept@khansonsgroupbd.com,http://www.khansonsgroupbd.com,Asadullah Mahmud FCS,01711-383749,+880-2-55012658,csasad@khansonsgroupbd.com,1995,B,Y,"Share Holding Percentage
                    [as on Jun 30, 2021 (year ended)]",44.55,0.00,1.80,0.00,53.65,"Share Holding Percentage
                    [as on Sep 30, 2022]",44.55,0.00,1.80,0.00,53.65,"Share Holding Percentage
                    [as on Oct 31, 2022]",44.55,0.00,1.80,0.00,53.65,"TK 364,148,104 Revaluation Reserve has been added to Reserve & Surplus."
Southeast Bank Ltd.,N/A,https://www.dsebd.org/displayCompany.php?name=SOUTHEASTB,SOUTHEASTB,11117,N/A,13.80,N/A,13.80,3:10 PM,13.80 - 13.80,0,0.00%,0.04,13.30 - 16.80,13.80,"2,868.00",13.80,8,13.80,"17,063.674",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"15,000.00",N/A,"12,365.00",Equity,10.0,1,"1,236,498,141",Bank,"Eunoos Trade Centre ( 2nd,3rd, 4th, 6th & 16th Floor), 52-53 Dilkusha C/A ,  Dhaka - 1000",N/A,N/A,N/A,"+88 01700706532, 88 02 223387271",02 223387273,irdsebl@southeastbank.com.bd,http://www.southeastbank.com.bd,Mr. A.K.M. Nazmul Haider,01819790198,02-223355264,nazmul.haider@southeastbank.com.bd,2000,A,Y,"Share Holding Percentage
                    [as on Dec 31, 2021 (year ended)]",30.42,0.00,38.78,1.27,29.53,"Share Holding Percentage
                    [as on Sep 30, 2022]",34.52,0.00,37.06,1.43,26.99,"Share Holding Percentage
                    [as on Oct 31, 2022]",35.35,0.00,36.31,1.41,26.93,"TK  4,334,027,577 Revaluation Reserve has been added to Reserve & Surplus."
Shinepukur Ceramics Limited,N/A,https://www.dsebd.org/displayCompany.php?name=SPCERAMICS,SPCERAMICS,24633,N/A,43.00,N/A,43.00,3:10 PM,43.00 - 43.00,0,0.00%,0.01,24.50 - 58.90,43.00,259.00,43.00,8,43.00,"6,319.540",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"5,000.00",N/A,"1,469.66",Equity,10.0,1,"146,966,055",Ceramics Sector,"17, Dhanmondi, Road No 2, Dhaka-1205","Beximco Industrial Park, Sarabo, Kashimpur, Gazipur",N/A,N/A,"58611891-5, 58612040-7 Ext.10152","58613470, 9615523",sclcsd@beximco.net,http://www.shinepukur.com,"Mr. Mohammad Asad Ullah, FCS",+88 01711 522 029,"58611891-5, 58612040-7   Ext.-10140",csdbexim@bol-online.com,2008,B,Y,"Share Holding Percentage
                    [as on Jun 30, 2021 (year ended)]",50.00,0.00,8.34,0.00,41.66,"Share Holding Percentage
                    [as on Sep 30, 2022]",50.00,0.00,4.27,0.00,45.73,"Share Holding Percentage
                    [as on Oct 31, 2022]",50.00,0.00,6.66,0.00,43.34,"TK 2,966,690,015 Revaluation surplus has been added to Reserve and Surplus."
Shahjibazar Power Co. Ltd.,N/A,https://www.dsebd.org/displayCompany.php?name=SPCL,SPCL,15317,N/A,N/A,N/A,68.10,3:10 PM,N/A,N/A,-100.00%,N/A,66.10 - 104.40,N/A,N/A,68.10,N/A,68.10,"12,220.783",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"5,000.00","15 Jul, 2014","1,794.53",Equity,10.0,1,"179,453,489",Fuel & Power,"Youth Tower 822/2, Rokeya Sarani (8th floor), Dhaka-1216","Fatepur, Shahjibazar, Madhabpur, Hobigonj, Bangladesh",N/A,N/A,"09678111000, +88 02 9025401-2, 09678111000, Ext-113",88 02 9032436,"debasish@youthbd.com, nila@youthbd.com, yeasin@youthbd.com",http://www.youthbd.com,"Mr. Yeasin Ahmed, ACS",+88 01720 596 095,"+88 02 9025401-2, 09678111000, Ext-112",yeasin@youthbd.com,2014,A,Y,"Share Holding Percentage
                    [as on Jun 30, 2021 (year ended)]",60.29,0.00,20.44,0.00,19.27,"Share Holding Percentage
                    [as on Sep 30, 2022]",59.21,0.00,17.93,0.00,22.86,"Share Holding Percentage
                    [as on Oct 31, 2022]",59.21,0.00,16.11,0.00,24.68,N/A
Square Textile Ltd.,N/A,https://www.dsebd.org/displayCompany.php?name=SQUARETEXT,SQUARETEXT,17446,N/A,67.50,N/A,67.50,3:10 PM,67.50 - 67.50,0,0.00%,0.09,50.30 - 78.20,67.50,"1,305.00",67.50,6,67.50,"13,314.510",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"3,000.00",N/A,"1,972.52",Equity,10.0,1,"197,252,000",Textile,"Square Centre,  48, Mohakhali C/A,  Dhaka - 1212","1. SardaGanj, Kashimpur, Gazipur  2. Olipur, Hobigonj.",N/A,N/A,"02-8833047-56, 02222295007","880-2-58815336, 8834941",cs@squaregroup.com,https://textile.squaregroup.com/,Sanjib Baran Roy,+88 01730 328 776,"880-2-8833047-56, 02222295007 Ext.-585",baran@squaregroup.com,2002,A,Y,"Share Holding Percentage
                    [as on Jun 30, 2021 (year ended)]",61.83,0.00,23.40,3.11,11.66,"Share Holding Percentage
                    [as on Sep 30, 2022]",61.83,0.00,22.38,3.09,12.70,"Share Holding Percentage
                    [as on Oct 31, 2022]",61.83,0.00,22.06,3.09,13.02,N/A
